URL,Page Type,Current Meta Title,Title Length,Title Status,Current Meta Description,Description Length,Description Status,Problems Found
https://arzhomeremodeling.com/about/,About Page,"About ARZ Home Remodeling – Chandler, AZ Bathroom Contractors ...",65,FAIL,"Family-owned bathroom remodeling company serving Chandler AZ since 2010. Meet owner Alex Rivers and our licensed crew. ROC #338304, NARI member, BBB A+.",152,FAIL,"Title too long, No CTA"
https://arzhomeremodeling.com/ada-bathroom-remodeling/,Service Page,Accessible Shower Remodeling Chandler - ADA Specialist - ARZ,60,PASS,"Safe, beautiful walk-in showers in Chandler &amp; Mesa. Certified ADA modifications &amp; senior-safe tub conversions. Licensed ROC338304. Call (520) 569-3339.",159,FAIL,Description too long
https://arzhomeremodeling.com/admin/analytics/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/blog/edit/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/blog/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/categories/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/dashboard/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/gallery/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/leads/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/login/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/settings/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/admin/testimonials/,Other,"Bathroom Remodeling Chandler AZ | Licensed, ROC-Certified | Fr...",65,FAIL,"Licensed bathroom remodeling in Chandler, Arizona. Walk-in showers, tub-to-shower conversions, tile, vanities, and master bath remodels. ROC338304. Free...",155,FAIL,"Title too long, Duplicate title, Duplicate description"
https://arzhomeremodeling.com/adu-casita-construction-chandler/,Other,ADU &amp; Casita Construction Chandler AZ - Guest Houses - ARZ,62,FAIL,"Licensed ADU &amp; casita guest house construction in Chandler, AZ. Design-build, custom suites &amp; utility hookups. ROC Licensed. Free quote: (520) 569-3339.",160,FAIL,"Title too long, Description too long"
https://arzhomeremodeling.com/bathroom-flooring-installation/,Service Page,Bathroom Flooring Installation Chandler AZ - ARZ,48,PASS,"Professional bathroom flooring installation in Chandler, AZ. Waterproof tile, luxury vinyl, and stone flooring with expert installation.",136,FAIL,No CTA
https://arzhomeremodeling.com/bathroom-lighting-installation/,Service Page,Bathroom Lighting Contractor Chandler AZ - Light Installation ...,65,FAIL,"Professional bathroom lighting contractor in Chandler, AZ. Vanity lights, recessed LED fixtures, interior lighting installation and bathroom lighting...",152,FAIL,"Title too long, No CTA, Keyword stuffing"
https://arzhomeremodeling.com/bathroom-remodel-cost-chandler/,Other,Bathroom Remodeling Cost Chandler AZ - 2025 Pricing Guide - ARZ,63,FAIL,"Complete bathroom remodeling cost guide for Chandler, AZ. Guest bath updates from $4,500, tub-to-shower conversions $6,000–$13,000, master bath remodels...",155,PASS,Title too long
https://arzhomeremodeling.com/bathroom-remodeling/,Service Page,Bathroom Remodeling Chandler | Licensed Pros - ARZ,50,PASS,"Bathroom remodeling in Chandler, AZ by licensed contractors. Custom showers, master baths, tub-to-shower conversions, and tile. ROC338304. Free estimate.",153,PASS,
https://arzhomeremodeling.com/bathroom-remodeling-ahwatukee-az/,City Page,Licensed Bathroom Contractor Ahwatukee AZ - ARZ,47,PASS,"Hire the top-rated bathroom remodeling company in Ahwatukee, AZ. We specialize in master bathroom renovations, shower replacements, and tub-to-shower...",152,FAIL,No CTA
https://arzhomeremodeling.com/bathroom-remodeling-apache-junction-az/,City Page,Bathroom Remodeling Apache Junction | Licensed Contractor - ARZ,63,FAIL,"Apache Junction&#x27;s trusted bathroom remodeler. Custom walk-in showers, tub conversions &amp; premium tiling. Licensed ROC338304. Free quotes: (520)...",154,PASS,Title too long
https://arzhomeremodeling.com/bathroom-remodeling-chandler-az/,City Page,Bathroom Remodeling Chandler AZ | Licensed Contractor - ARZ,59,PASS,Chandler&#x27;s trusted bathroom remodeler. Specializing in walk-in showers &amp; custom baths. Licensed ROC338304. Family-owned. Free estimate: (520) 569-3339.,160,FAIL,Description too long
https://arzhomeremodeling.com/bathroom-remodeling-cooper-commons/,Nearby City Page,Cooper Commons Bathroom Remodeling | Chandler AZ - ARZ,54,PASS,"Licensed bathroom remodelers in Cooper Commons, Chandler AZ. Custom showers &amp; full renovations. Free estimate: (520) 569-3339.",130,PASS,
https://arzhomeremodeling.com/bathroom-remodeling-dobson-ranch/,Nearby City Page,Bathroom Remodeling Dobson Ranch AZ - Custom Contractors - ARZ,62,FAIL,"Top-rated bathroom remodeling in Dobson Ranch, Mesa/Chandler AZ. Specialized in layout upgrades, small bathroom solutions, and custom tiling in 85202.",150,PASS,Title too long
https://arzhomeremodeling.com/bathroom-remodeling-downtown-chandler/,Nearby City Page,Downtown Chandler Bathroom Remodeling | Chandler AZ - ARZ,57,PASS,"Licensed bathroom remodelers in Downtown Chandler, Chandler AZ. Custom showers &amp; full renovations. Free estimate: (520) 569-3339.",133,PASS,
https://arzhomeremodeling.com/bathroom-remodeling-financing/,Service Page,Bathroom Remodeling Financing | Chandler AZ - ARZ,49,PASS,"Explore bathroom remodeling financing options in Chandler, AZ. Learn about low-APR home improvement loans, HELOCs, and flexible payment plans.",142,FAIL,No CTA
